image,timestamp,experiment,training,dev,dev_resampled,test,test_resampled,YSI DO (%),YSI DO (mmHg),YSI barometer (mmHg),YSI temperature (C),setpoint temperature (C),DO patch r_msorm,DO patch g_msorm,DO patch b_msorm,reference patch r_msorm,reference patch g_msorm,reference patch b_msorm,reflectance standard r_msorm,reflectance standard g_msorm,reflectance standard b_msorm,setpoint O2 (fraction),ROI definitions,setpoint ID,scum tank
2019-10-04--07-06-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:07:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.433878,764.4,23.6,,0.096082,0.102904,0.181609,0.163485,0.119882,0.169445,0.028591,0.126204,0.408791,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-07-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:07:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.146667,83.508611,764.4,23.6,,0.096135,0.102904,0.181617,0.163513,0.119869,0.169442,0.028588,0.126171,0.408727,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-07-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:08:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.2,83.59402,764.4,23.5,,0.096155,0.102946,0.181594,0.163446,0.119862,0.169386,0.028601,0.126126,0.408613,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-08-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:08:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.2,83.604226,764.493333,23.5,,0.096279,0.102977,0.181675,0.163436,0.119851,0.169377,0.028625,0.126157,0.408664,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-08-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:09:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.153333,83.530213,764.5,23.5,,0.096329,0.103075,0.181722,0.163527,0.11987,0.169435,0.02858,0.126198,0.408811,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-09-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:09:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.27882,764.446667,23.5,,0.09643,0.103093,0.181738,0.163464,0.11985,0.169409,0.0286,0.126215,0.408771,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-09-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:10:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.28463,764.5,23.5,,0.096446,0.10305,0.181642,0.163452,0.119899,0.169397,0.028596,0.126139,0.408746,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-10-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:10:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.283904,764.493333,23.5,,0.096502,0.103108,0.181703,0.163503,0.119883,0.169436,0.028613,0.126176,0.408853,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-10-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:11:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.28463,764.5,23.5,,0.096498,0.103132,0.181688,0.163495,0.119862,0.169432,0.028599,0.126154,0.408855,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-11-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:11:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.439699,764.453333,23.5,,0.096578,0.10316,0.181613,0.163445,0.119847,0.16944,0.028563,0.126279,0.408818,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-11-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:12:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.433878,764.4,23.5,,0.096645,0.103173,0.18167,0.163451,0.119845,0.169387,0.028599,0.126158,0.408748,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-12-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:12:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.438971,764.446667,23.5,,0.096654,0.103217,0.181701,0.163426,0.11981,0.169435,0.028594,0.126107,0.408717,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-12-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:13:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.444793,764.5,23.5,,0.096733,0.10327,0.181702,0.163484,0.11984,0.169446,0.028607,0.126142,0.408816,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-13-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:13:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.433878,764.4,23.5,,0.096771,0.103249,0.181698,0.163534,0.11985,0.169393,0.02859,0.126173,0.408808,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-13-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:14:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.273736,764.4,23.5,,0.096837,0.10331,0.181688,0.163485,0.119852,0.169404,0.028629,0.126093,0.408811,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-14-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:14:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.273736,764.4,23.5,,0.096883,0.103295,0.181767,0.163467,0.119856,0.169396,0.028606,0.126147,0.408881,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-14-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:15:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.953333,83.199003,764.4,23.5,,0.096943,0.103376,0.181756,0.163487,0.119856,0.169387,0.028599,0.126184,0.408837,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-15-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:15:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.118668,764.446667,23.5,,0.097053,0.103452,0.18183,0.163487,0.119839,0.169435,0.028581,0.126164,0.408833,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-15-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:16:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.946667,83.194126,764.453333,23.5,,0.097126,0.103441,0.181734,0.16346,0.119877,0.169382,0.028573,0.126188,0.408734,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-16-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:16:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.273736,764.4,23.5,,0.097141,0.103467,0.181814,0.163527,0.119859,0.169465,0.028613,0.126155,0.408897,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-16-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:17:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.273736,764.4,23.5,,0.097193,0.103507,0.181794,0.16346,0.119835,0.169385,0.028594,0.126122,0.408781,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-17-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:17:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.0,83.273736,764.4,23.5,,0.097249,0.10355,0.181818,0.163463,0.11985,0.169357,0.028613,0.126169,0.408798,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-17-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:18:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.113594,764.4,23.5,,0.097287,0.103547,0.181783,0.163505,0.119825,0.169393,0.028611,0.126129,0.408833,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-18-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:18:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.119393,764.453333,23.5,,0.097408,0.103624,0.181857,0.163485,0.119831,0.16943,0.028596,0.12618,0.40885,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-18-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:19:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.113594,764.4,23.5,,0.09749,0.103677,0.182004,0.163503,0.11989,0.169424,0.028591,0.126182,0.408825,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-19-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:19:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.125192,764.506667,23.5,,0.097507,0.103685,0.181849,0.163505,0.119852,0.169385,0.0286,0.126179,0.408844,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-19-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:20:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.118668,764.446667,23.5,,0.097557,0.103708,0.181874,0.163543,0.119885,0.16939,0.028611,0.126188,0.408914,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-20-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:20:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.119393,764.453333,23.5,,0.097612,0.103801,0.182199,0.163476,0.11984,0.169401,0.028628,0.126143,0.408793,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-20-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:21:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.118668,764.446667,23.5,,0.097654,0.103727,0.181918,0.163516,0.119856,0.169392,0.028609,0.126122,0.408794,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-21-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:21:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.9,83.118668,764.446667,23.5,,0.097676,0.103784,0.18187,0.163531,0.119861,0.169424,0.028594,0.126195,0.408871,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-21-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:22:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.853333,83.043926,764.446667,23.5,,0.097719,0.103804,0.182015,0.163448,0.119874,0.169408,0.028594,0.126167,0.408768,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-22-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:22:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.8,82.970092,764.553333,23.5,,0.097844,0.103847,0.181942,0.163501,0.119875,0.1694,0.028626,0.126201,0.408959,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-22-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:23:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.7,82.809918,764.553333,23.646667,,0.097928,0.103894,0.18191,0.163498,0.119848,0.169438,0.028608,0.126279,0.408818,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-23-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:23:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.7,82.804142,764.5,23.7,,0.098007,0.103962,0.181959,0.163479,0.11988,0.169446,0.028595,0.126225,0.408856,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-23-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:24:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.7,82.798365,764.446667,23.7,,0.098121,0.104009,0.182029,0.16346,0.119886,0.169452,0.028599,0.126166,0.408828,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-24-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:24:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.7,82.804142,764.5,23.7,,0.098194,0.10405,0.182026,0.163512,0.119851,0.169473,0.028619,0.126264,0.408804,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-24-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:25:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.7,82.804142,764.5,23.7,,0.098287,0.104144,0.182043,0.163501,0.119857,0.169466,0.028571,0.1262,0.408858,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-25-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:25:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.7,82.799087,764.453333,23.7,,0.09837,0.104157,0.182063,0.163478,0.11987,0.169483,0.028583,0.126216,0.408921,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-25-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:26:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.746667,82.878884,764.5,23.7,,0.098468,0.104203,0.182038,0.163476,0.119873,0.169472,0.028608,0.126212,0.408954,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-26-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:26:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.846667,83.039047,764.5,23.7,,0.098531,0.104258,0.182061,0.163531,0.119871,0.169493,0.028595,0.126253,0.408911,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-26-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:27:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,51.946667,83.193411,764.446667,23.7,,0.098675,0.104377,0.182065,0.163498,0.119872,0.169457,0.028612,0.126206,0.408931,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-27-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:27:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.046667,83.359373,764.5,23.8,,0.098819,0.104334,0.182125,0.163516,0.119879,0.16939,0.028594,0.126181,0.408886,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-27-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:28:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.1,83.439699,764.453333,23.8,,0.098942,0.104435,0.182137,0.163533,0.119861,0.169454,0.028601,0.126212,0.408877,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-28-27_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:28:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.2,83.610059,764.546667,23.8,,0.099058,0.104553,0.182165,0.163491,0.119917,0.169459,0.028601,0.126243,0.408978,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-28-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:29:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.3,83.759275,764.446667,23.7,,0.099154,0.104586,0.182178,0.16348,0.11986,0.169439,0.028626,0.126167,0.408847,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-29-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:29:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.3,83.759275,764.446667,23.7,,0.099307,0.104654,0.182196,0.163445,0.119872,0.169453,0.028601,0.126208,0.408917,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-29-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:30:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.346667,83.839861,764.5,23.7,,0.099457,0.104727,0.182152,0.163507,0.119871,0.16946,0.028631,0.12614,0.408903,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-30-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:30:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.4,83.925281,764.5,23.7,,0.099548,0.104795,0.182194,0.163434,0.119863,0.169487,0.028617,0.126135,0.408864,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-30-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:31:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.4,83.931136,764.553333,23.746667,,0.099685,0.104857,0.182258,0.163475,0.119829,0.169442,0.028601,0.126198,0.408855,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-31-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:31:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.3,83.776075,764.6,23.8,,0.099799,0.104932,0.182222,0.163479,0.119841,0.1694,0.028586,0.12623,0.40885,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-31-58_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:32:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.2,83.610788,764.553333,23.8,,0.099941,0.10498,0.182276,0.163467,0.119845,0.169465,0.028589,0.12615,0.408764,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-32-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:32:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.246667,83.673866,764.446667,23.8,,0.100041,0.105034,0.182281,0.163447,0.119855,0.169406,0.028612,0.126166,0.4088,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-32-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:33:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.346667,83.850827,764.6,23.8,,0.100164,0.1051,0.18225,0.163432,0.119861,0.169442,0.028607,0.126217,0.408875,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-33-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:33:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.4,83.931136,764.553333,23.8,,0.100269,0.105138,0.182267,0.163454,0.119854,0.169415,0.028595,0.126186,0.408806,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-33-57_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:34:03,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.4,83.930404,764.546667,23.8,,0.100413,0.10523,0.182293,0.163487,0.119846,0.169456,0.028599,0.126117,0.408733,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
2019-10-04--07-34-28_additional_capture_params__exposure_time_0.4_iso_100_camera_warm_up_5_.jpeg,2019-10-04 07:34:33,2019-10-03--16-00-57-Pi7B0F-scumtank2_10k_images_attempt_6,True,False,False,False,False,52.4,83.936259,764.6,23.8,,0.100494,0.105256,0.182313,0.16342,0.119849,0.169437,0.028623,0.126132,0.408808,,"{'DO patch': [1040, 410, 230, 400], 'reference patch': [650, 875, 279, 252], 'reflectance standard': [660, 200, 250, 250]}",127,True
